side,pitch,roll,j00_du_dp,j01_du_dr,j10_dl_dp,j11_dl_dr,diag_kp_upper,diag_kp_lower,diag_kd_upper,diag_kd_lower,equiv_kp_pitch,equiv_kp_roll,equiv_kp_cross
right,0.24492397904396057,-0.07344197481870651,-0.8544921874992227,-0.793457031250666,-0.8544921874964472,0.8544921874964472,3.6721676607396834,3.4192377453593443,3.672167660739683,3.4192377453593443,5.177838577287373,4.8084815321523955,-0.006839945280116511
left,-0.37282881140708923,0.09341410547494888,-1.4038085937528864,0.8850097656221133,-1.373291015621669,-0.8850097656221133,1.5409521807293733,1.5898798319769891,1.5409521807293733,1.5898798319769891,6.035120668052274,2.4522000203550554,0.01784690807356055
right,0.0385943241417408,-0.028363199904561043,-0.9765624999999791,-0.8239746093751179,-0.9765624999991117,0.8544921874992227,2.994718728390828,2.903618324601308,2.994718728390828,2.903618324601308,5.62509255694077,4.1533137853078745,-0.013229472104505603
left,-0.4585299789905548,0.04143466800451279,-1.5258789062444487,0.9155273437477794,-1.4648437499986675,-0.8544921874964472,1.2819013487148962,1.4114198787619332,1.2819013487148962,1.4114198787619332,6.013237659284379,2.1050352591816,-0.02412470617728286
right,0.0879288911819458,-0.010651607997715473,-0.9460449218741395,-0.8239746093742505,-0.9460449218741395,0.8239746093742505,3.117991539578529,3.1179915395785285,3.117991539578529,3.1179915395785285,5.581211055683931,4.233821914249309,2.759409520151509e-16
left,0.3479948937892914,0.015129725448787212,-0.7324218749993338,0.823974609370781,-0.7934570312451149,-0.8544921874964472,4.076672114797936,3.643874732760745,4.076672114797936,3.6438747327607444,4.480986350621349,5.4283922185357,0.010297889867170866
right,-0.06941915303468704,-0.07704290747642517,-1.0681152343747224,-0.8239746093749444,-1.0986328125000415,0.8544921875000902,2.5859300826996416,2.4292823949964215,2.5859300826996416,2.4292823949964215,5.882339864243767,3.529433559594099,-0.00466846489010573
left,-0.10960180312395096,0.033109892159700394,-1.0986328124990008,0.8239746093749444,-1.1291503906253608,-0.8239746093756383,2.442195933264787,2.357219620996412,2.442195933264787,2.357219620996412,5.953125274415647,3.258487152921814,-0.01765046804497181
right,-0.17666828632354736,-0.09174128621816635,-1.159667968750333,-0.823974609370781,-1.1596679687489453,0.8544921874992227,2.250604148157933,2.1950461462931568,2.250604148157933,2.1950461462931568,5.97864298632692,3.130740116053294,-0.02459552479236448
left,-0.18782848119735718,0.019441381096839905,-1.1901855468732236,0.8239746093749444,-1.1901855468732236,-0.8544921874992227,2.144144178330868,2.0929823866581323,2.144144178330868,2.0929823866581323,6.002066196248897,2.9839382480270995,0.025846945537541344
right,-0.3479413390159607,-0.09585389494895935,-1.373291015621669,-0.8544921874964472,-1.3427734374960032,0.8544921874964472,1.6098617828351658,1.6625374073484085,1.6098617828351656,1.6625374073484085,6.033706041828501,2.3893648433336874,-0.01845903646170293
left,-0.006389398127794266,0.040726691484451294,-1.0070800781251248,0.8239746093742505,-1.0375976562497502,-0.8544921874999166,2.845028264493081,2.666114115900674,2.845028264493081,2.666114115900674,5.755819099036444,3.8782684800004614,0.0029992821395764964
right,-0.2796202003955841,-0.08413220196962357,-1.2817382812474465,-0.8544921874964472,-1.251220703124556,0.8544921874992227,1.8481341927033914,1.910363457601706,1.8481341927033914,1.9103634576017057,6.026988558603433,2.744292987347043,-0.018339081404883075
left,-0.11726159602403641,0.06366008520126343,-1.0986328124990008,0.8239746093749444,-1.0986328125003886,-0.8544921875006105,2.4795530175008023,2.4139879136673654,2.4795530175008023,2.4139879136673654,5.906474820142903,3.446043165471181,0.021582733812628922
right,-0.18225565552711487,-0.07260903716087341,-1.1901855468759992,-0.823974609370781,-1.1901855468759992,0.8544921875019983,2.1441441783274433,2.092982386643469,2.1441441783274433,2.092982386643469,6.002066196251268,2.983938248009285,-0.025846945543585804
left,-0.17916665971279144,0.06941647082567215,-1.1901855468759992,0.8544921874964472,-1.1596679687489453,-0.8544921874992227,2.1273392349652447,2.200860384468301,2.1273392349652447,2.200860384468301,5.973247225912303,3.160264810192298,0.01737941475182204
right,-0.3457238972187042,-0.0668003112077713,-1.3732910156272202,-0.8850097656276644,-1.3427734374960032,0.8544921874964472,1.5942463901110973,1.6798199095982453,1.5942463901110973,1.6798199095982453,6.035417583722857,2.4752132810704213,0.010201158462404925
left,-0.24926507472991943,0.07364729791879654,-1.2512207031273315,0.8239746093763322,-1.2207031250016653,-0.8544921875019983,1.9609631503300915,1.9823494934129637,1.9609631503300915,1.9823494934129637,6.023923163475995,2.7787910210325304,0.046049454442946815
right,-0.18198804557323456,-0.071440190076828,-1.1901855468759992,-0.8544921874964472,-1.1596679687475575,0.8544921874992227,2.1273392349658957,2.2008603844723877,2.1273392349658957,2.2008603844723877,5.973247225911637,3.160264810195757,-0.017379414752599614
left,-0.26951736211776733,0.07429798692464828,-1.2817382812529976,0.8239746093763322,-1.2512207031273315,-0.8544921875019983,1.8696126400217798,1.8908496193003443,1.86961264002178,1.8908496193003443,6.031724537787558,2.6499607750388683,0.04708266739997262
right,-0.21399123966693878,-0.07495240122079849,-1.220703125004441,-0.8239746093763322,-1.2207031249988898,0.8544921874992227,2.0430443193188665,1.995910327068329,2.0430443193188665,1.995910327068329,6.0185114240622966,2.8444202665304696,-0.026944746669839467
left,-0.2822971045970917,0.07586536556482315,-1.2817382812474465,0.8544921874964472,-1.2512207031273315,-0.8544921875019983,1.8481341927039303,1.9103634575925363,1.8481341927039303,1.9103634575925361,6.0269885586032315,2.7442929873498025,0.018339081405654132
right,-0.2241470068693161,-0.07623752951622009,-1.2207031249988898,-0.8544921874964472,-1.2207031250016653,0.8544921875019983,2.015809357316628,2.0158093573018623,2.015809357316628,2.0158093573018623,6.007580033869033,2.9437142165891323,-3.0389079683285978e-12
left,-0.2766205370426178,0.07752922177314758,-1.2817382812529976,0.8239746093763322,-1.2512207031273315,-0.8544921875019983,1.8696126400217798,1.8908496193003443,1.86961264002178,1.8908496193003443,6.031724537787558,2.6499607750388683,0.04708266739997262
right,-0.2522512972354889,-0.07764868438243866,-1.2512207031217804,-0.823974609370781,-1.2207031250016653,0.8544921875019983,1.960963150348969,1.9823494934116983,1.960963150348969,1.9823494934116983,6.023923163476422,2.778791021026484,-0.046049454444754355
left,-0.25983336567878723,0.01811591349542141,-1.2512207031273315,0.8544921875019983,-1.2512207031217804,-0.8544921874964472,1.923294179272831,1.9232941792924179,1.923294179272831,1.923294179292418,6.022038898191967,2.808613025685464,-1.5401709390763797e-12
right,-0.24289102852344513,0.04340461269021034,-1.2512207031273315,-0.8239746093777199,-1.2207031249988898,0.8544921874964472,1.960963150326661,1.9823494934260353,1.960963150326661,1.9823494934260353,6.023923163476669,2.778791021025424,-0.046049454438578906
left,-0.23947982490062714,0.03321617469191551,-1.2207031249988898,0.8544921874964472,-1.2207031249988898,-0.8544921874992227,2.0158093573160962,2.01580935731179,2.0158093573160962,2.01580935731179,6.007580033869375,2.943714216586431,2.3381730971783852e-12
right,-0.22087813913822174,0.025932084769010544,-1.1901855468759992,-0.8544921875019983,-1.2207031249988898,0.8544921874964472,2.0991276365850653,2.0295676184399203,2.0991276365850653,2.0295676184399203,5.997793120098496,3.0145953222495074,0.01781773429083112
left,-0.28669553995132446,0.037512652575969696,-1.2817382812474465,0.8544921874964472,-1.2512207031217804,-0.8544921874964472,1.8481341927028516,1.9103634576108754,1.8481341927028516,1.9103634576108752,6.026988558603633,2.7442929873442825,0.01833908140411253
right,-0.22410808503627777,0.018851429224014282,-1.2207031249988898,-0.8544921874992227,-1.2207031249988898,0.8544921874964472,2.0158093573117903,2.0158093573160962,2.0158093573117903,2.0158093573160962,6.007580033869376,2.9437142165864314,2.338433055512098e-12
left,-0.30527621507644653,0.04731336608529091,-1.312255859370337,0.8544921874964472,-1.312255859370337,-0.8544921874964472,1.7523195503336941,1.7523195503336941,1.7523195503336944,1.7523195503336944,6.0350426445602885,2.5589364160787165,-4.5898991730568443e-17
